SKU_ID,Drug_Name,Category,Storage_Req,Current_Stock,Monthly_Demand,Unit_Cost_GBP,Lead_Time_Base_Days,Route,Customs_Delay_Factor,Predicted_Lead_Time,Stock_Runway_Days,Risk_Score
PH-UK-1169,Amoxicillin,Emergency,Ambient,3791,2125,347.43,5,Eurotunnel,2.421844389823645,12.1,53.5,29.299999999999997
PH-UK-1170,Amoxicillin,Biologic,Ambient,2021,3934,315.47,13,Felixstowe,1.1,14.3,15.4,100.0
PH-UK-1171,Salbutamol,Biologic,Ambient,1986,2905,262.06,13,Eurotunnel,1.9654514304033261,25.6,20.5,100.0
PH-UK-1172,Amoxicillin,Oncology,Cold Chain,982,2846,453.97,8,Dover-Calais,1.8264094615086333,14.6,10.4,100.0
PH-UK-1173,Salbutamol,Biologic,Cold Chain,3662,4036,454.56,9,Heathrow Air,1.1,9.9,27.2,75.30000000000001
PH-UK-1174,Atorvastatin,Statin,Ambient,1938,4141,248.62,5,Dover-Calais,2.4795627732277867,12.4,14.0,100.0
PH-UK-1175,Atorvastatin,Inhaler,Cold Chain,4321,3350,63.33,14,Heathrow Air,1.1,15.4,38.7,68.8
PH-UK-1176,Atorvastatin,Antibiotic,Ambient,666,3405,341.17,6,Felixstowe,1.1,6.6,5.9,100.0
PH-UK-1177,Adrenaline,Inhaler,Cold Chain,2369,3824,381.53,5,Heathrow Air,1.1,5.5,18.6,79.3
PH-UK-1178,Atorvastatin,Antibiotic,Ambient,986,1397,413.85,8,Dover-Calais,2.548786070855299,20.4,21.2,100.0
PH-UK-1179,Adrenaline,Inhaler,Ambient,4665,2677,496.89,6,Dover-Calais,2.6490591687959704,15.9,52.3,43.10000000000001
PH-UK-1180,Pembrolizumab,Antibiotic,Cold Chain,867,4372,173.54,11,Dover-Calais,1.975892065971808,21.7,5.9,100.0
PH-UK-1181,Amoxicillin,Emergency,Cold Chain,2716,2181,18.98,5,Felixstowe,1.1,5.5,37.4,41.7
PH-UK-1182,Insulin,Emergency,Cold Chain,1205,2621,353.08,12,Felixstowe,1.1,13.2,13.8,100.0
PH-UK-1183,Adrenaline,Oncology,Ambient,1464,2397,398.45,11,Dover-Calais,2.484988497215454,27.3,18.3,100.0
PH-UK-1184,Atorvastatin,Statin,Ambient,3676,2834,242.92,7,Dover-Calais,2.0492187961774437,14.3,38.9,65.10000000000001
PH-UK-1185,Pembrolizumab,Oncology,Cold Chain,4808,2270,18.24,10,Felixstowe,1.1,11.0,63.5,6.0
PH-UK-1186,Salbutamol,Emergency,Ambient,1559,3424,468.98,12,Eurotunnel,2.2899734164116943,27.5,13.7,100.0
PH-UK-1187,Adrenaline,Biologic,Ambient,1857,4318,105.41,9,Felixstowe,1.1,9.9,12.9,100.0
PH-UK-1188,Amoxicillin,Biologic,Ambient,525,4185,158.32,9,Felixstowe,1.1,9.9,3.8,100.0
PH-UK-1189,Atorvastatin,Emergency,Cold Chain,3466,1234,232.91,14,Dover-Calais,1.9737133721491678,27.6,84.3,14.200000000000017
PH-UK-1190,Atorvastatin,Oncology,Cold Chain,3611,2867,412.72,6,Dover-Calais,2.6601455450877434,16.0,37.8,72.4
PH-UK-1191,Atorvastatin,Inhaler,Cold Chain,1361,1783,330.76,6,Dover-Calais,2.823714682105227,16.9,22.9,100.0
PH-UK-1192,Adrenaline,Emergency,Cold Chain,529,4200,377.29,5,Dover-Calais,2.1672601239986484,10.8,3.8,100.0
PH-UK-1193,Atorvastatin,Statin,Cold Chain,1195,2886,68.99,5,Dover-Calais,2.280279858048375,11.4,12.4,100.0
PH-UK-1194,Pembrolizumab,Statin,Ambient,1457,3913,57.09,13,Dover-Calais,1.9534326200359828,25.4,11.2,100.0
PH-UK-1195,Pembrolizumab,Emergency,Ambient,3615,2053,392.44,14,Felixstowe,1.1,15.4,52.8,40.60000000000001
PH-UK-1196,Insulin,Inhaler,Cold Chain,867,4327,299.01,8,Felixstowe,1.1,8.8,6.0,100.0
PH-UK-1197,Pembrolizumab,Inhaler,Cold Chain,4659,3297,235.17,13,Eurotunnel,1.6800273132465022,21.8,42.4,80.60000000000001
PH-UK-1198,Pembrolizumab,Emergency,Cold Chain,3495,3677,415.46,14,Dover-Calais,1.8161642139492868,25.4,28.5,100.0
PH-UK-1199,Amoxicillin,Oncology,Cold Chain,1786,812,248.87,12,Eurotunnel,2.0609337474020366,24.7,66.0,42.099999999999994
PH-UK-1200,Amoxicillin,Statin,Ambient,4065,3154,65.87,13,Felixstowe,1.1,14.3,38.7,65.5
PH-UK-1201,Pembrolizumab,Antibiotic,Ambient,4582,941,206.28,12,Heathrow Air,1.1,13.2,146.1,0.0
PH-UK-1202,Pembrolizumab,Biologic,Cold Chain,967,1762,392.1,5,Felixstowe,1.1,5.5,16.5,83.5
PH-UK-1203,Adrenaline,Biologic,Cold Chain,2448,3431,126.1,8,Eurotunnel,2.478873451876325,19.8,21.4,100.0
PH-UK-1204,Amoxicillin,Inhaler,Cold Chain,4775,4313,46.7,8,Eurotunnel,1.576752500422408,12.6,33.2,71.39999999999999
